firm,number_of_stores,markets,
Shop and Go,4,"AR, CA, NY, TX",
Shop N Save,4,"AL, AZ, CA, CO, FL, IA, IL, ME, MI, MO, MS, NC, OH, PA, TX, WV",
Shop Rite,4,NY,
Shop Smart,4,,
Shoppers Food,4,"DC, DE, MD, VA",
Shoprite,4,"CA, CT, DE, FL, GA, IL, KY, NJ, NY, OH, PA",
Shore Stop Food Stores,4,DE,
Sigma Foods,4,"AZ, CA, CO, FL, GA, NV, TX, UT",
Smart & Final,4,"AZ, CA, FL, NV",
Smithfield Food,4,"MA, NY, OK, VA",
Smiths Food & Drug Centers,4,"AZ, CA, ID, IN, MT, NC, NM, NV, UT, WY",
Snappy Foods,4,"GA, TX",
Southern Family Foods,4,"AL, GA, MS",
Sparkle Super Markets,4,OH,
Spee D Foods,4,"GA, OH",
Sprint Foods,4,GA,
Spruce Foods,4,CA,
Star Market,4,"HI, MA, NV, NY",
Stater Bros,4,CA,
Stop & GO,4,"CT, FL, MA, NY, OH, TX",
Stop & Save,4,"CA, CT",
Stop & Shop,4,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VT, WA, WI",
Stop 1 Supermarket,4,"MA, NJ, NY",
Stop Market,4,"CA, RI",
Stop N Save,4,"CA, MA, TX",
Stop One Grocery,4,"CT, NJ, NY",
Store 24,4,"MA, NH",
Streetmans Supermarket,4,OK,
Stremicks Heritage Foods,4,CA,
Stripes,4,OK,
Sturm Foods Inc,4,WI,
Sugar Creek Stores,4,NY,
Sullivans Foods,4,"IA, IL, OH",
Summer Fresh Supermarket,4,MO,
Sun Hop Fat 1 Supermarket,4,CA,
Sun Market,4,"DC, MA",
Sun Mart Foods,4,NE,
Sun Sang Supermarket,4,CA,
Sun Valley Foods,4,"ID, MI, NV",
Sunbelt Foods,4,"GA, TX",
Sunbelt Natural Foods,4,FL,
Sundance Natural Foods,4,"CA, OR",
Sunflower Farmers Market,4,"AZ, NV",
Sunflower Natural Foods,4,"CA, CO, IN, OH, VT",
Sunflower Natural Foods Market,4,NY,
Sunflower Supermarket,4,MS,
Sunland Foods,4,FL,
Sunmart,4,"MN, ND, NE, TX",
Sunny Food Store,4,"AL, NY, TX",
Sunny Fresh,4,"IA, MI, MN",
Sunny Groceries,4,MD,
Sunny Ridge Supermarket,4,CT,
Sunrise Food,4,"CA, FL, MI, NJ, NY, OH, TX, WI",
Sunrise Natural Foods,4,"CA, MN, NY",
Sunrise Natural Foods Inc,4,FL,
Sunset Foods,4,"IL, NM",
Sunshine Fine Foods,4,OH,
Sunshine Foods,4,"CA, CT, FL, IA, IL, MI, MN, NY, PA, SD, WI",
Sunshine Market,4,"CA, MA, MO, RI",
Sunshine Natural Foods,4,"IA, OR, TX",
Sunshine Supermarket,4,"FL, NY, VA, WI",
Sunshine Supermarkets,4,FL,
Super 1 Foods,4,"AR, ID, LA, MT, OR, TX, WA",
Super A Foods,4,"CA, TX",
Super Bargain,4,CA,
Super Bear Supermarket,4,AK,
Super Food,4,FL,
Super Food Store,4,"GA, TX",
Super Fresh,4,"DC, DE, IL, MD, MN, NJ, PA, TX",
Super K Food Store,4,"CA, FL, TX",
Super One Foods,4,"LA, MI, MN, ND, WA, WI",
Super S Foods,4,TX,
Super Target,4,"GA, IA, IL, LA, TX",
